Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Starting Program
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Load,[SHORT-BRIEF]: Loading casino from file
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Casino Loaded Successfully
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: ReadPeopleFile,[SHORT-BRIEF]:  Success Loading 10000 users 
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->4; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->1,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->1782.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->10; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->3,2;[winProbability]->0.100000;[Failures]->0;[betAmount]->3018.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->1; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->1,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->24; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->6,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->4555.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->11; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->3,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->48; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->12,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->2269.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->27; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->7,3;[winProbability]->0.250000;[Failures]->0;[betAmount]->0.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->54; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->14,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->1857.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->26; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->7,2;[winProbability]->0.100000;[Failures]->0;[betAmount]->161.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->8; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->2,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->4857.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->62; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->18,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->4907.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->28; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->7,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->4563.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->8; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->2,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->3028.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->14; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->4,2;[winProbability]->0.100000;[Failures]->0;[betAmount]->3947.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->28; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->7,4;[winProbability]->0.250000;[Failures]->0;[betAmount]->3777.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->51; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->12,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->63; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->18,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->1
